video_id,channel_id,channel_name,title,published_date,published_month,published_day_name,category_id,duration_minutes,view_count,like_count,comment_count,engagement_rate
QuzttTTLyMk,UCWv7vMbMWH4-V0ZXdmDpPBA,Programming with Mosh,Claude Code Tutorial Dropped #claude #claudecode,2026-03-25,2026-03,Wednesday,27,1.93,32154,565,7,1.78
IuyVVtr1uhY,UCWv7vMbMWH4-V0ZXdmDpPBA,Programming with Mosh,Claude Code Tutorial - Build Apps 10x Faster with AI,2026-03-24,2026-03,Tuesday,27,58.18,301820,6549,303,2.27
-vqGZaThouQ,UCWv7vMbMWH4-V0ZXdmDpPBA,Programming with Mosh,New Course Dropping Soon...,2026-03-18,2026-03,Wednesday,27,1.97,27700,1428,123,5.6
CIXT-kc3l6g,UCWv7vMbMWH4-V0ZXdmDpPBA,Programming with Mosh,Top Programming Languages to Learn in 2026 #ai #technology #codeprep #programming #coding #tech,2025-12-19,2025-12,Friday,27,2.83,43582,1111,27,2.61
naNcmnKskUE,UCWv7vMbMWH4-V0ZXdmDpPBA,Programming with Mosh,Top 5 Programming Languages to Learn in 2026 (to Actually Get Hired),2025-12-18,2025-12,Thursday,27,11.52,295524,8597,766,3.17
bshe96X5KkA,UCWv7vMbMWH4-V0ZXdmDpPBA,Programming with Mosh,AI Course for Developers - Build AI-Powered Apps,2025-08-26,2025-08,Tuesday,27,1.1,27275,868,13,3.23
PtETUYa3i2Q,UCWv7vMbMWH4-V0ZXdmDpPBA,Programming with Mosh,AI Course for Developers – Build AI-Powered Apps with React,2025-08-25,2025-08,Monday,27,145.67,146755,3974,249,2.88
V7TMkZH1AkM,UCWv7vMbMWH4-V0ZXdmDpPBA,Programming with Mosh,A Practical AI Course for Developers is Coming...,2025-08-18,2025-08,Monday,27,0.85,35577,1653,164,5.11
h4FRpDGuJyI,UCWv7vMbMWH4-V0ZXdmDpPBA,Programming with Mosh,"Microsoft laid off 6,000 people… but why?",2025-05-20,2025-05,Tuesday,27,3.88,97909,4444,372,4.92
EWd3_I4X32g,UCWv7vMbMWH4-V0ZXdmDpPBA,Programming with Mosh,Spring Boot Project: Build a REST API for an E-commerce Platform,2025-04-16,2025-04,Wednesday,27,120.28,227566,3907,151,1.78
M5B-xBmznok,UCWv7vMbMWH4-V0ZXdmDpPBA,Programming with Mosh,Part 2 of my Spring Boot course dropping soon!,2025-04-16,2025-04,Wednesday,27,0.75,21648,730,13,3.43
Iqz7BWePOys,UCWv7vMbMWH4-V0ZXdmDpPBA,Programming with Mosh,How Spring Boot Can Be A Game Changer For Your Career,2025-03-12,2025-03,Wednesday,27,2.83,23697,1970,19,8.39
v73-ps01c5w,UCWv7vMbMWH4-V0ZXdmDpPBA,Programming with Mosh,How Spring Boot Can Be A Game Changer For Your Career,2025-03-04,2025-03,Tuesday,27,4.08,97658,2357,103,2.52
